Scheme_Name	Asset_Value
-	DSP ELSS Tax Saver Fund - Direct Plan - Growth
INF740K01OM7	DSP ELSS Tax Saver Fund - Direct Plan - IDCW
-	DSP ELSS Tax Saver Fund - Regular Plan - Growth
INF740K01177	DSP ELSS Tax Saver Fund - Regular Plan - IDCW
INF754K01BY0	Edelweiss ELSS Tax Saver Fund - Direct Plan - IDCW Option
-	Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option
-	Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option
INF754K01541	Edelweiss ELSS Tax Saver Fund - Regular Plan - IDCW Option
-	Franklin India ELSS Tax Saver Fund - Direct - Growth
INF090I01JU4	Franklin India ELSS Tax Saver Fund - Direct - IDCW
INF090I01791	Franklin India ELSS Tax Saver Fund - IDCW
-	Franklin India ELSS Tax Saver Fund-Growth
-	Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Dividend Option
-	Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option
-	Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Regular Plan- - Income Distribution cum capital withdrawal Option (Payout)
-	Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)-Regular Plan-Growth Option
-	HDFC ELSS Tax saver - Growth Option - Direct Plan
-	HDFC ELSS Tax saver - Growth Plan
INF179K01YR6	HDFC ELSS Tax saver - IDCW Option - Direct Plan
INF179K01BA0	HDFC ELSS Tax saver - IDCW Plan
-	HDFC Long Term Advantage Plan - Growth Option - Direct Plan
-	HDFC Long Term Advantage Plan - Growth Plan
INF179K01WW0	HDFC Long Term Advantage Plan - IDCW Option - Direct Plan
INF179K01988	HDFC Long Term Advantage Plan - IDCW Plan
-	HSBC ELSS Tax saver Fund - Direct Growth
-	HSBC ELSS Tax saver Fund - Direct IDCW Payout
-	HSBC ELSS Tax saver Fund - Regular Growth
-	HSBC ELSS Tax saver Fund - Regular IDCW Payout
-	HSBC Tax Saver Equity Fund - Growth
-	HSBC Tax Saver Equity Fund - Growth Direct
-	HSBC Tax Saver Equity Fund - IDCW
-	HSBC Tax Saver Equity Fund - IDCW Direct Plan
-	ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth
INF109K01Y23	ICICI Prudential ELSS Tax Saver Fund - Direct Plan - IDCW
-	ICICI Prudential ELSS Tax Saver Fund - Growth
INF109K01472	ICICI Prudential ELSS Tax Saver Fund - IDCW
-	Invesco India ELSS Tax Saver Fund - Direct Plan - Growth
INF205K01NS0	Invesco India ELSS Tax Saver Fund - Direct Plan - IDCW (Payout / Reinvestment)
-	Invesco India ELSS Tax Saver Fund - Growth
INF205K01288	Invesco India ELSS Tax Saver Fund - IDCW (Payout / Reinvestment)
-	ITI ELSS Tax Saver Fund - Direct Plan - Growth Option
-	ITI ELSS Tax Saver Fund - Direct Plan - IDCW Option
-	ITI ELSS Tax Saver Fund - Regular Plan - Growth Option
-	ITI ELSS Tax Saver Fund - Regular Plan - IDCW Option
-	JM ELSS Tax Saver Fund (Direct) - Growth Option
-	JM ELSS Tax Saver Fund (Direct) - IDCW
-	JM ELSS Tax Saver Fund (Regular) - Growth option
-	JM ELSS Tax Saver Fund (Regular) - IDCW
-	Kotak ELSS Tax Saver Fund-Growth
-	Kotak ELSS Tax Saver Fund-Growth - Direct
INF174K01377	Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option
-	Kotak ELSS Tax Saver Fund-Payout of Income Distribution cum capital withdrawal option - Direct
-	LIC MF ELSS Tax Saver-Direct Plan-Growth
INF767K01EN9	LIC MF ELSS Tax Saver-Direct Plan-IDCW
-	LIC MF ELSS Tax Saver-Regular Plan-Growth
INF767K01949	LIC MF ELSS Tax Saver-Regular Plan-IDCW
INF767K01DR2	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment
INF767K01998	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DQ4	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment
INF767K01980	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment
INF767K01OY5	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment
INF767K01OV1	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment
INF767K01DS0	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AA4	LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DU6	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AC0	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DT8	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment
INF767K01AB2	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment
INF767K01PB0	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment
INF767K01PA2	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment
INF767K01DV4	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AD8	LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DP6	LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment
INF767K01972	LIC MF ULIS (10 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment
INF767K01DX0	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AF3	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DW2	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment
INF767K01AE6	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment
INF767K01OX7	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment
INF767K01OU3	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment
INF767K01DY8	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AG1	LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment
INF767K01EA6	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AI7	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DZ5	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment
INF767K01AH9	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment
INF767K01OZ2	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment
INF767K01OW9	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment
INF767K01EB4	LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment
INF767K01AJ5	LIC MF ULIS (15Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment
INF767K01DO9	LIC MF ULIS (5 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment
INF767K01964	LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment
-	Mahindra Manulife ELSS Tax Saver Fund - Direct Plan -Growth
-	Mahindra Manulife ELSS Tax Saver Fund - Regular Plan - IDCW
-	Mahindra Manulife ELSS Tax Saver Fund- Direct Plan - IDCW
-	Mahindra Manulife ELSS Tax Saver Fund- Regular Plan - Growth
-	Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth
-	Mirae Asset ELSS Tax Saver Fund - Direct Plan - IDCW
-	Mirae Asset ELSS Tax Saver Fund - Regular Plan - Growth
-	Mirae Asset ELSS Tax Saver Fund - Regular Plan - IDCW
-	Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option
-	Motilal Oswal ELSS Tax Saver Fund - IDCW Payout
-	Motilal Oswal ELSS Tax Saver Fund - Regular Plan - Growth Option
-	Motilal Oswal ELSS Tax Saver Fund Direct - IDCW Payout
-	Navi ELSS Tax Saver Fund - Direct Plan IDCW Payout
-	Navi ELSS Tax Saver Fund - Regular Plan IDCW Payout
-	Navi ELSS Tax Saver Fund- Direct Plan- Growth Option
-	Navi ELSS Tax Saver Fund- Regular Plan- Growth Option
-	NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH
-	NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN IDCW PAYOUT
-	NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN GROWTH
-	NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - REGULAR PLAN IDCW PAYOUT
-	NIPPON INDIA TAX SAVER (ELSS) FUND - ANNUAL IDCW Option
-	NIPPON INDIA TAX SAVER (ELSS) FUND - DIRECT Plan - ANNUAL IDCW Option
INF204K01L48	NIPPON INDIA TAX SAVER (ELSS) FUND - DIRECT Plan - IDCW Option
INF204K01GM0	NIPPON INDIA TAX SAVER (ELSS) FUND - IDCW Option
-	Nippon India Tax Saver (ELSS) Fund-Growth Plan-Growth Option
-	Nippon India Tax Saver Fund - Direct Plan Growth Plan - Growth Option
-	NJ ELSS Tax Saver Scheme Direct Growth
-	NJ ELSS Tax Saver Scheme Direct IDCW
-	NJ ELSS Tax Saver Scheme Regular Growth
-	NJ ELSS Tax Saver Scheme Regular IDCW
-	PGIM India ELSS Tax Saver Fund - Direct Plan - Dividend Option
-	PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option
-	PGIM India ELSS Tax Saver Fund - Regular Plan - Dividend Option
-	PGIM India ELSS Tax Saver Fund - Regular Plan - Growth Option
-	Parag Parikh ELSS Tax Saver Fund- Direct Growth
-	Parag Parikh ELSS Tax Saver Fund- Regular Growth
-	quant ELSS Tax Saver Fund - Growth Option - Direct Plan
-	quant ELSS Tax Saver Fund - Growth Option - Regular Plan
INF966L01127	quant ELSS Tax Saver Fund - IDCW Option - Direct Plan
-	quant ELSS Tax Saver Fund - IDCW Option - Regular Plan
-	Quantum ELSS Tax Saver Fund - Direct Plan Growth Option
INF082J01085	Quantum ELSS Tax Saver Fund - Direct Plan IDCW
-	Quantum ELSS Tax Saver Fund - Regular Plan Growth Option
-	Quantum ELSS Tax Saver Fund - Regular Plan IDCW
-	Samco ELSS Tax Saver Fund - Direct Plan - Growth Option
-	Samco ELSS Tax Saver Fund - Regular Plan - Growth Option
-	SBI Long Term Equity Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
-	SBI LONG TERM EQUITY FUND - DIRECT PLAN -GROWTH
-	SBI Long Term Equity Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
-	SBI LONG TERM EQUITY FUND - REGULAR PLAN- GROWTH
-	Shriram ELSS Tax Saver Fund - Direct Growth
-	Shriram ELSS Tax Saver Fund - Direct- IDCW
-	Shriram ELSS Tax Saver Fund - Regular Growth
-	Shriram ELSS Tax Saver Fund - Regular-IDCW
-	Sundaram Diversified Equity (ELSS) Direct Plan - Growth
INF903J01NM5	Sundaram Diversified Equity (ELSS) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)
-	Sundaram Diversified Equity (ELSS) Regular Plan - Growth
INF903J01520	Sundaram Diversified Equity (ELSS) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)
-	Sundaram ELSS Tax Saver Fund Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option
-	Sundaram ELSS Tax Saver Fund Direct Plan Growth
-	Sundaram ELSS Tax Saver Fund Regular Growth
-	Sundaram ELSS Tax Saver Fund Regular Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option
-	Tata ELSS Tax Saver Fund- Direct Plan - Payout of IDCW Option
-	Tata ELSS Tax Saver Fund- Regular Plan - Payout of IDCW Option
-	Tata ELSS Tax Saver Fund-Growth-Direct Plan
-	Tata ELSS Tax Saver Fund-Growth-Regular Plan
INF044D01AA3	Taurus ELSS Tax Saver Fund - Direct Plan - Growth
INF044D01CI2	Taurus ELSS Tax Saver Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option
-	Taurus ELSS Tax Saver Fund - Regular Plan - Growth
-	Taurus ELSS Tax Saver Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
-	Union ELSS Tax Saver Fund - Direct Plan - Growth Option
INF582M01773	Union ELSS Tax Saver Fund - Direct Plan - IDCW Option
-	Union ELSS Tax Saver Fund - Growth Option
INF582M01310	Union ELSS Tax Saver Fund - IDCW Option
-	UTI ELSS Tax Saver Fund - Direct Plan - Growth Option
INF789F01TE0	UTI ELSS Tax Saver Fund - Direct Plan - IDCW
-	UTI ELSS Tax Saver Fund - Regular Plan - Growth Option
INF789F01539	UTI ELSS Tax Saver Fund - Regular Plan - IDCW
-	WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth
-	WhiteOak Capital ELSS Tax Saver Fund Direct Plan IDCW
-	WhiteOak Capital ELSS Tax Saver Fund Regular Plan Growth
-	WhiteOak Capital ELSS Tax Saver Fund Regular Plan IDCW
-	360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH
INF579M01AU7	360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW
-	360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH
INF579M01AR3	360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW
-	Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan
-	Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan
INF209K01XY9	Aditya Birla Sun Life Flexi Cap Fund -DIRECT - IDCW
INF209K01DT1	Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW
-	Axis Flexi Cap Fund - Direct Plan - Growth
INF846K01B10	Axis Flexi Cap fund - Direct Plan - IDCW
-	Axis Flexi Cap Fund - Regular Plan - Growth
INF846K01B44	Axis Flexi Cap Fund - Regular Plan - IDCW
-	Bajaj Finserv Flexi Cap Fund -Regular Plan-Growth
-	Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth
INF0QA701367	Bajaj Finserv Flexi Cap Fund-Direct Plan-IDCW
INF0QA701417	Bajaj Finserv Flexi Cap Fund-Regular Plan-IDCW
-	BANDHAN Flexi Cap Fund - Regular Plan - Growth
INF194K01417	BANDHAN Flexi Cap Fund - Regular Plan - IDCW
-	BANDHAN Flexi Cap Fund-Direct Plan-Growth
INF194K01W88	BANDHAN Flexi Cap Fund-Direct Plan-IDCW
-	BANK OF INDIA Flexi Cap Fund Direct Plan -Growth
INF761K01FG3	BANK OF INDIA Flexi Cap Fund Direct Plan -IDCW
-	BANK OF INDIA Flexi Cap Fund Regular Plan -Growth
INF761K01FJ7	BANK OF INDIA Flexi Cap Fund Regular Plan -IDCW
-	Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option
INF251K01RB1	Baroda BNP Paribas Flexi Cap Fund - Direct Plan - IDCW Option
-	Baroda BNP Paribas Flexi Cap Fund - Regular Plan - Growth Option
INF251K01QY5	Baroda BNP Paribas Flexi Cap Fund - Regular Plan - IDCW Option
-	CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION
INF760K01EE3	CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)
-	CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - GROWTH OPTION
INF760K01035	CANARA ROBECO FLEXICAP FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)
-	DSP Flexi Cap Fund - Direct Plan - Growth
INF740K01PK8	DSP Flexi Cap Fund - Direct Plan - IDCW
-	DSP Flexi Cap Fund - Regular Plan - Growth
INF740K01029	DSP Flexi Cap Fund - Regular Plan - IDCW
-	Edelweiss Flexi Cap Fund - Direct Plan - Growth Option
INF843K01KM7	Edelweiss Flexi Cap Fund - Direct Plan - IDCW Option
INF843K01KP0	Edelweiss Flexi Cap Fund - Regular - IDCW Option
-	Edelweiss Flexi Cap Fund - Regular Plan - Growth Option
-	Franklin India Flexi Cap Fund - Direct - Growth
INF090I01FM9	Franklin India Flexi Cap Fund - Direct - IDCW
-	Franklin India Flexi Cap Fund - Growth
INF090I01221	Franklin India Flexi Cap Fund - IDCW
-	HDFC Flexi Cap Fund - Growth Option - Direct Plan
-	HDFC Flexi Cap Fund - Growth Plan
INF179K01VM3	HDFC Flexi Cap Fund - IDCW Option - Direct Plan
INF179K01590	HDFC Flexi Cap Fund - IDCW Plan
-	Helios Flexi Cap Fund - Direct Plan - Growth Option
INF0R8701061	Helios Flexi Cap Fund - Direct Plan - IDCW Option
-	Helios Flexi Cap Fund - Regular Plan - Growth Option
INF0R8701038	Helios Flexi Cap Fund - Regular Plan - IDCW Option
-	HSBC Flexi Cap Fund - Direct Growth
INF336L01DG7	HSBC Flexi Cap Fund - Direct IDCW
-	HSBC Flexi Cap Fund - Regular Growth
INF336L01AD0	HSBC Flexi Cap Fund - Regular IDCW
-	ICICI Prudential Flexicap Fund - Direct Plan - Growth
INF109KC1R30	ICICI Prudential Flexicap Fund - Direct Plan - IDCW
-	ICICI Prudential Flexicap Fund - Growth
INF109KC1R06	ICICI Prudential Flexicap Fund - IDCW
-	Invesco India Flexi Cap Fund - Direct Plan - Growth
INF205KA1502	Invesco India Flexi Cap Fund - Direct Plan - IDCW
-	Invesco India Flexi Cap Fund - Growth
INF205KA1478	Invesco India Flexi Cap Fund - IDCW
-	ITI Flexi Cap Fund- Direct Plan- Growth
INF00XX01CQ2	ITI Flexi Cap Fund- Direct Plan- IDCW
-	ITI Flexi Cap Fund- Regular Plan- Growth
INF00XX01CN9	ITI Flexi Cap Fund- Regular Plan- IDCW
-	JM Flexicap Fund (Direct) - Growth Option
INF192K01CB9	JM Flexicap Fund (Direct) - IDCW
-	JM Flexicap Fund (Regular) - Growth option
INF192K01627	JM Flexicap Fund (Regular) - IDCW
-	Kotak Flexicap Fund - Growth
-	Kotak Flexicap Fund - Growth - Direct
INF174K01344	Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option
INF174K01LR4	Kotak Flexicap Fund - Payout of Income Distribution cum capital withdrawal option- Direct
-	LIC MF Flexi Cap Fund-Direct Plan-Growth
INF767K01EH1	LIC MF Flexi Cap Fund-Direct Plan-IDCW
-	LIC MF Flexi Cap Fund-Regular Plan-Growth
INF767K01055	LIC MF Flexi Cap Fund-Regular Plan-IDCW
-	Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth
INF174V01AT0	Mahindra Manulife Flexi Cap Fund - Direct Plan -IDCW
-	Mahindra Manulife Flexi Cap Fund - Regular Plan -Growth
INF174V01AQ6	Mahindra Manulife Flexi Cap Fund - Regular Plan -IDCW
INF769K01JK0	Mirae Asset Flexi Cap Fund - Direct Plan -  IDCW
-	Mirae Asset Flexi Cap Fund - Direct Plan - Growth
-	Mirae Asset Flexi Cap Fund - Regular Plan - Growth
INF769K01JH6	Mirae Asset Flexi Cap Fund - Regular Plan - IDCW
INF247L01510	Motilal Oswal Flexi Cap Fund Direct - IDCW Payout/Reinvestment
-	Motilal Oswal Flexi cap Fund Direct Plan-Growth Option
INF247L01486	Motilal Oswal Flexi cap Fund Regular - IDCW Payout/Reinvestment
-	Motilal Oswal Flexi Cap Fund Regular Plan-Growth Option
-	Navi Flexi Cap Fund - Direct Plan - Growth
INF959L01ED1	NAVI FLEXI CAP FUND - DIRECT PLAN ANNUAL IDCW PAYOUT
INF959L01EB5	NAVI FLEXI CAP FUND - DIRECT PLAN HALF YEARLY IDCW PAYOUT
INF959L01DX1	NAVI FLEXI CAP FUND - DIRECT PLAN MONTHLY IDCW PAYOUT
INF959L01DV5	NAVI FLEXI CAP FUND - DIRECT PLAN NORMAL IDCW PAYOUT
INF959L01DZ6	NAVI FLEXI CAP FUND - DIRECT PLAN QUARTERLY IDCW PAYOUT
-	Navi Flexi Cap Fund - Regular Plan - Growth
INF959L01EO8	NAVI FLEXI CAP FUND - REGULAR PLAN ANNUAL IDCW PAYOUT
INF959L01EM2	NAVI FLEXI CAP FUND - REGULAR PLAN HALF YEARLY IDCW PAYOUT
INF959L01EI0	NAVI FLEXI CAP FUND - REGULAR PLAN MONTHLY IDCW PAYOUT
INF959L01EG4	NAVI FLEXI CAP FUND - REGULAR PLAN NORMAL IDCW PAYOUT
INF959L01EK6	NAVI FLEXI CAP FUND - REGULAR PLAN QUARTERLY IDCW PAYOUT
-	Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option
INF204KC1147	Nippon India Flexi Cap Fund - Direct Plan - IDCW Option
-	Nippon India Flexi Cap Fund - Regular Plan - Growth Plan - Growth Option
INF204KC1113	Nippon India Flexi Cap Fund - Regular Plan - IDCW Option
-	NJ Flexi Cap Fund - Direct Plan - Growth Option
-	NJ Flexi Cap Fund - Direct Plan - IDCW Option
-	NJ Flexi Cap Fund - Regular Plan - Growth Option
-	NJ Flexi Cap Fund - Regular Plan - IDCW Option
INF663L01FH7	PGIM India Flexi Cap Fund - Direct Plan - Dividend Option
-	PGIM India Flexi Cap Fund - Direct Plan - Growth Option
INF663L01FL9	PGIM India Flexi Cap Fund - Regular Plan - Dividend Option
-	PGIM India Flexi Cap Fund - Regular Plan - Growth Option
-	Parag Parikh Flexi Cap Fund - Direct Plan - Growth
-	Parag Parikh Flexi Cap Fund - Regular Plan - Growth
-	quant Flexi Cap Fund - Growth Option - Regular Plan
-	quant Flexi Cap Fund - Growth Option-Direct Plan
INF966L01903	quant Flexi Cap Fund - IDCW Option - Direct Plan
INF966L01440	quant Flexi Cap Fund - IDCW Option - Regular Plan
-	Samco Flexi Cap Fund - Direct Plan - Growth Option
-	Samco Flexi Cap Fund - Regular Plan - Growth Option
-	SBI Flexicap Fund - DIRECT PLAN - Growth Option
INF200K01UF3	SBI Flexicap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
INF200K01248	SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW)
-	SBI Flexicap Fund - REGULAR PLAN -Growth Option
-	Shriram Flexi Cap Fund - Direct Growth
INF680P01125	Shriram Flexi Cap Fund - Direct-IDCW
-	Shriram Flexi Cap Fund - Regular Growth
INF680P01091	Shriram Flexi Cap Fund - Regular-IDCW
-	Sundaram Flexicap Fund Direct Growth
-	Sundaram Flexicap Fund Direct Plan IDCW Payout
INF903JA1LG7	Sundaram Flexicap Fund Direct Plan IDCW Reinvestment
-	Sundaram Flexicap Fund Regular Growth
-	Sundaram Flexicap Fund Regular Plan IDCW Payout
INF903JA1LD4	Sundaram Flexicap Fund Regular Plan IDCW Reinvestment
-	TATA Flexi Cap Fund - Direct Plan - Payout of Income Distribution cum capital withdrawal option
-	Tata Flexi Cap Fund -Regular Plan-Growth
INF277K016K8	TATA Flexi Cap Fund Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option
-	TATA Flexi Cap Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option
INF277K010L9	TATA Flexi Cap Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option
-	Tata Flexi Cap Fund-Direct Plan-Growth
INF044D01BW5	Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option
-	Taurus Flexi Cap Fund - Direct Plan - Growth
-	Taurus Flexi Cap Fund - Regular Plan - Growth
INF044D01963	Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option
-	TRUSTMF Flexi Cap Fund-Direct Plan- Growth
INF0GCD01768	TRUSTMF Flexi Cap Fund-Direct Plan- IDCW
-	TRUSTMF Flexi Cap Fund-Regular Plan- Growth
INF0GCD01735	TRUSTMF Flexi Cap Fund-Regular Plan- IDCW
-	Unifi Flexi Cap Fund - Direct Growth
-	Unifi Flexi Cap Fund - Regular Growth
-	Union Flexi Cap Fund - Direct Plan - Growth Option
INF582M01641	Union Flexi Cap Fund - Direct Plan - IDCW Option
-	Union Flexi Cap Fund - Growth Option
INF582M01112	Union Flexi Cap Fund - IDCW Option
-	UTI - Flexi Cap Fund-Growth Option
-	UTI - Flexi Cap Fund-Growth Option - Direct
INF789F01TB6	UTI Flexi Cap Fund - Direct Plan - IDCW
INF789F01505	UTI Flexi Cap Fund - Regular Plan - IDCW
INF03VN01548	WhiteOak Capital Flexi Cap Fund Direct Plan IDCW
-	WhiteOak Capital Flexi Cap Fund Direct Plan-Growth
INF03VN01514	WhiteOak Capital Flexi Cap Fund Regular Plan IDCW
-	WhiteOak Capital Flexi Cap Fund Regular Plan-Growth
INF579M01928	360 ONE Focused Fund - Direct Plan - Dividend
INF579M01894	360 ONE Focused Fund - Regular Plan - Dividend
-	360 ONE Focused Fund -Regular Plan - Growth
-	360 ONE Focused Fund-Direct Plan-Growth
-	Aditya Birla Sun Life Focused Fund - Growth - Direct Plan
INF209K01WF0	Aditya Birla Sun Life Focused Fund -Direct - IDCW
-	Aditya Birla Sun Life Focused Fund -Growth Option
INF209K01CS5	Aditya Birla Sun Life Focused Fund -Regular - IDCW
-	Axis Focused Fund - Direct Plan - Growth Option
INF846K01CP0	Axis Focused Fund - Direct Plan - IDCW
-	Axis Focused Fund - Regular Plan - Growth Option
INF846K01CJ3	Axis Focused Fund - Regular Plan - IDCW
-	Bandhan Focused Fund - Direct Plan - Growth
INF194K01W47	Bandhan Focused Fund - Direct Plan - IDCW
-	Bandhan Focused Fund - Regular Plan - Growth
INF194K01482	Bandhan Focused Fund - Regular Plan - IDCW
-	BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option
INF251K01PP5	BARODA BNP PARIBAS Focused Fund - Direct Plan - IDCW Option
INF251K01PM2	BARODA BNP PARIBAS Focused Fund - Regular Plan - IDCW Option
-	BARODA BNP PARIBAS Focused Fund - Regular Plan-Growth Option
-	Canara Robeco Focused Fund - Direct Plan - Growth Option
INF760K01JR4	Canara Robeco Focused Fund - Direct Plan - IDCW (Payout/Reinvestment)
-	Canara Robeco Focused Fund - Regular Plan - Growth Option
INF760K01JU8	Canara Robeco Focused Fund - Regular Plan - IDCW (Payout/Reinvestment)
-	DSP Focused Fund - Direct Plan - Growth
INF740K01OD6	DSP Focused Fund - Direct Plan - IDCW
-	DSP Focused Fund - Regular Plan - Growth
INF740K01AC7	DSP Focused Fund - Regular Plan - IDCW
-	Edelweiss Focused Fund - Direct Plan - Growth
INF754K01OR7	Edelweiss Focused Fund - Direct Plan - IDCW
-	Edelweiss Focused Fund - Regular Plan - Growth
INF754K01ON6	Edelweiss Focused Fund - Regular Plan - IDCW
-	Franklin India Focused Equity Fund - Direct - Growth
INF090I01IV4	Franklin India Focused Equity Fund - Direct - IDCW
-	Franklin India Focused Equity Fund - Growth Plan
