Scheme_Name	Asset_Value
INF903J01PE7	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)
-	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus
INF903J01IP8	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)
-	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth
INF903J01IR4	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)
INF903J01IQ6	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)
-	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth
INF903J01IM5	Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)
-	TRUSTMF BANKING & PSU FUND - DIRECT GROWTH
-	TRUSTMF BANKING & PSU FUND - REGULAR GROWTH
INF0GCD01172	TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION
INF0GCD01115	TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01131	TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION
INF0GCD01156	TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01123	TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01081	TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01024	TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01040	TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01065	TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF0GCD01032	TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL
INF789FA1V11	UTI Banking & PSU Fund - Direct Plan - Annual IDCW
INF789FA1V37	UTI Banking & PSU Fund - Direct Plan - Flexi IDCW
-	UTI Banking & PSU Fund - Direct Plan - Growth Option
INF789FA1U95	UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW
INF789FC1HF8	UTI Banking & PSU Fund - Direct Plan - Monthly IDCW
INF789F017Z2	UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW
INF789FA1U53	UTI Banking & PSU Fund - Regular Plan - Annual IDCW
INF789FA1U79	UTI Banking & PSU Fund - Regular Plan - Flexi IDCW
INF789FA1U38	UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW
INF789FC1HD3	UTI Banking & PSU Fund - Regular Plan - Monthly IDCW
INF789F013Z1	UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW
-	UTI Banking & PSU Fund- Regular Plan - Growth Option
-	Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan
-	Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan
-	Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW
INF209KA1KU8	Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW
-	Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW
INF209K01DL8	Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW
-	Axis Corporate Bond Fund - Direct Plan - Daily IDCW
INF846K01ZR7	Axis Corporate Bond Fund - Direct Plan - Monthly IDCW
INF846K01ZT3	Axis Corporate Bond Fund - Direct Plan - Regular IDCW
INF846K01ZP1	Axis Corporate Bond Fund - Direct Plan - Weekly IDCW
-	Axis Corporate Bond Fund - Direct Plan Growth
-	Axis Corporate Bond Fund - Regular Plan - Daily IDCW
INF846K01ZZ0	Axis Corporate Bond Fund - Regular Plan - Monthly IDCW
INF846K01A11	Axis Corporate Bond Fund - Regular Plan - Regular IDCW
INF846K01ZX5	Axis Corporate Bond Fund - Regular Plan - Weekly IDCW
-	Axis Corporate Bond Fund - Regular Plan Growth
INF194KA1T42	BANDHAN Corporate Bond Fund - Direct Annual IDCW
-	BANDHAN Corporate Bond Fund - Direct Growth
INF194KA1T18	BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW
INF194KA1S50	BANDHAN Corporate Bond Fund - Direct Monthly IDCW
INF194KA1M49	BANDHAN Corporate Bond Fund - Direct Periodic IDCW
INF194KA1S84	BANDHAN Corporate Bond Fund - Direct Quarterly IDCW
INF194KA1S27	BANDHAN Corporate Bond Fund - Regular Annual IDCW
-	BANDHAN Corporate Bond Fund - Regular Growth
INF194KA1R93	BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW
INF194KA1R36	BANDHAN Corporate Bond Fund - Regular Monthly IDCW
